customer_id,order_date,order_qty,order_price
1,1/1/97,2,29.33
1,1/18/97,2,29.73
1,8/2/97,1,14.96
1,12/12/97,2,26.48
2,1/1/97,3,63.34
2,1/13/97,1,11.77
3,1/1/97,1,6.79
4,1/1/97,1,13.97
5,1/1/97,2,23.94
6,1/1/97,1,35.99
6,1/11/97,1,32.99
6,3/15/97,4,77.96
6,4/16/97,3,59.3
6,4/24/97,2,134.98
6,6/23/97,1,91.92
6,7/22/97,3,47.08
6,7/26/97,2,71.96
6,10/25/97,3,78.47
6,12/6/97,3,83.47
6,1/18/98,4,84.46
6,2/15/98,4,123.96
6,2/21/98,2,32.98
6,2/26/98,2,23.06
6,5/10/98,1,72.99
6,6/20/98,3,55.47
7,1/1/97,1,11.77
7,2/5/97,1,11.77
8,1/1/97,3,32.91
8,3/4/98,1,15.27
8,3/7/98,1,11.49
9,1/1/97,1,16.36
9,5/1/97,2,28.13
9,9/8/97,1,22.97
9,2/10/98,1,28.49
9,2/11/98,2,28.98
10,1/1/97,2,30.32
11,1/1/97,1,18.99
11,1/27/97,1,14.37
11,2/1/97,1,9.77
11,3/2/97,1,15.99
11,5/4/97,3,47.33
11,6/21/97,3,59.74
11,11/11/97,2,32.98
12,1/1/97,1,13.97
13,1/1/97,2,29.53
13,11/30/97,2,16.48
13,12/13/97,3,36.97
13,12/21/97,2,17.98
13,12/24/97,3,36.97
13,2/24/98,1,11.49
13,3/18/98,1,11.88
13,5/27/98,1,11.88
14,1/1/97,3,43.7
15,1/1/97,1,15.76
16,1/1/97,1,12.49
17,1/1/97,2,25.98
17,2/6/97,2,23.54
17,2/11/97,1,13.97
17,2/12/97,1,27.77
17,2/28/97,1,9.98
17,3/11/97,1,15.36
17,5/27/97,1,21.97
17,5/31/97,1,17.3
17,7/8/97,3,51.75
17,8/7/97,2,36.74
17,8/28/97,1,23.97
17,12/29/97,3,41.47
17,1/6/98,1,29.99
18,1/1/97,1,13.97
18,2/4/97,1,9.99
19,1/2/97,2,35.93
19,2/23/97,2,26.73
19,4/20/97,2,23.76
19,7/19/97,2,24.74
19,2/15/98,1,15.49
19,5/5/98,3,43.47
20,1/2/97,2,17.96
21,1/2/97,1,14.99
21,3/2/97,2,34.6
21,4/14/97,1,29.99
22,1/2/97,1,8.77
23,1/2/97,1,14.7
24,1/2/97,1,14.96
25,1/2/97,2,87.74
25,12/21/97,1,14.99
26,1/2/97,1,3.99
26,1/13/97,10,166.89
26,1/13/97,4,60.25
27,1/2/97,1,15.9
28,1/2/97,2,26.14
28,7/27/97,4,80.46
29,1/2/97,1,46.37
30,1/2/97,2,28.76
30,2/12/97,2,40.47
31,1/2/97,1,44.77
32,1/2/97,1,10.77
33,1/2/97,1,25.99
34,1/2/97,1,14.99
35,1/2/97,1,11.77
